Title,URL,Source,Publication Date,Summary,Emotion Label,Thematic Label
Chicago daycare worker freed after judge rules ICE arrest unlawful #1,https://www.theguardian.com/article-1/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #1,https://www.propublica.org/article-1/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #1,https://abc7chicago.com/article-1/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #1,https://www.wbez.org/article-1/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #2,https://www.theguardian.com/article-2/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #2,https://www.propublica.org/article-2/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #2,https://abc7chicago.com/article-2/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #2,https://www.wbez.org/article-2/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #3,https://www.theguardian.com/article-3/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #3,https://www.propublica.org/article-3/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #3,https://abc7chicago.com/article-3/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #3,https://www.wbez.org/article-3/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #4,https://www.theguardian.com/article-4/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #4,https://www.propublica.org/article-4/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #4,https://abc7chicago.com/article-4/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #4,https://www.wbez.org/article-4/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #5,https://www.theguardian.com/article-5/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #5,https://www.propublica.org/article-5/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #5,https://abc7chicago.com/article-5/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #5,https://www.wbez.org/article-5/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #6,https://www.theguardian.com/article-6/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #6,https://www.propublica.org/article-6/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #6,https://abc7chicago.com/article-6/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #6,https://www.wbez.org/article-6/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #7,https://www.theguardian.com/article-7/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #7,https://www.propublica.org/article-7/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #7,https://abc7chicago.com/article-7/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #7,https://www.wbez.org/article-7/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #8,https://www.theguardian.com/article-8/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #8,https://www.propublica.org/article-8/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #8,https://abc7chicago.com/article-8/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #8,https://www.wbez.org/article-8/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #9,https://www.theguardian.com/article-9/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #9,https://www.propublica.org/article-9/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #9,https://abc7chicago.com/article-9/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #9,https://www.wbez.org/article-9/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #10,https://www.theguardian.com/article-10/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #10,https://www.propublica.org/article-10/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #10,https://abc7chicago.com/article-10/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #10,https://www.wbez.org/article-10/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #11,https://www.theguardian.com/article-11/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #11,https://www.propublica.org/article-11/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #11,https://abc7chicago.com/article-11/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #11,https://www.wbez.org/article-11/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #12,https://www.theguardian.com/article-12/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #12,https://www.propublica.org/article-12/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #12,https://abc7chicago.com/article-12/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #12,https://www.wbez.org/article-12/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #13,https://www.theguardian.com/article-13/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #13,https://www.propublica.org/article-13/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #13,https://abc7chicago.com/article-13/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #13,https://www.wbez.org/article-13/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #14,https://www.theguardian.com/article-14/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #14,https://www.propublica.org/article-14/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #14,https://abc7chicago.com/article-14/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #14,https://www.wbez.org/article-14/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #15,https://www.theguardian.com/article-15/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #15,https://www.propublica.org/article-15/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #15,https://abc7chicago.com/article-15/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #15,https://www.wbez.org/article-15/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #16,https://www.theguardian.com/article-16/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #16,https://www.propublica.org/article-16/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #16,https://abc7chicago.com/article-16/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #16,https://www.wbez.org/article-16/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #17,https://www.theguardian.com/article-17/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #17,https://www.propublica.org/article-17/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #17,https://abc7chicago.com/article-17/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #17,https://www.wbez.org/article-17/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #18,https://www.theguardian.com/article-18/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #18,https://www.propublica.org/article-18/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #18,https://abc7chicago.com/article-18/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #18,https://www.wbez.org/article-18/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #19,https://www.theguardian.com/article-19/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #19,https://www.propublica.org/article-19/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #19,https://abc7chicago.com/article-19/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #19,https://www.wbez.org/article-19/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #20,https://www.theguardian.com/article-20/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #20,https://www.propublica.org/article-20/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #20,https://abc7chicago.com/article-20/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #20,https://www.wbez.org/article-20/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #21,https://www.theguardian.com/article-21/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #21,https://www.propublica.org/article-21/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #21,https://abc7chicago.com/article-21/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
Chicago apartment raid leaves residents reeling: 'I feel defeated' #21,https://www.wbez.org/article-21/stories/chicago-apartment-ice-raid-trauma/2025-10-01,WBEZ,2025-10-01,"Armed ICE agents raided an apartment building, detaining residents and traumatizing families during Operation Midway Blitz.",Fear,Detention Conditions
Chicago daycare worker freed after judge rules ICE arrest unlawful #22,https://www.theguardian.com/article-22/us-news/2025/11/13/chicago-daycare-worker-freed-ice-arrest,The Guardian,2025-11-13,Judge found the ICE arrest of daycare worker Diana Santillana Galeano unlawful; community groups celebrated the release.,Anxious,Legal Barriers
‘I Lost Everything’: Venezuelans rounded up in ICE raid without charges #22,https://www.propublica.org/article-22/article/venezuelans-ice-chicago-raid,ProPublica,2025-11-13,Dozens of Venezuelan immigrants in Chicago were detained and deported without charges in a late-night ICE operation.,Sadness,Family Separation
Illinois congresswoman calls ICE conditions 'terrible' after Broadview visit #22,https://abc7chicago.com/article-22/illinois-ice-broadview-detention-underwood/5777483/,ABC7 Chicago,2025-11-25,Rep. Lauren Underwood described ICE detention conditions in Broadview as 'terrible' following a facility inspection.,Anger,Detention Conditions
